Intersection,Count,Accuracy,Selection_Rate,TPR,FPR,Approved,Denied
Black >74,144,0.7430555555555556,0.3194444444444444,0.5652173913043478,0.09333333333333334,46,98
Black 65-74,403,0.7096774193548387,0.38213399503722084,0.5829596412556054,0.13333333333333333,154,249
Black 55-64,760,0.7776315789473685,0.4381578947368421,0.6952380952380952,0.12058823529411765,333,427
Black 45-54,982,0.8004073319755601,0.4979633401221996,0.7592920353982301,0.14388489208633093,489,493
Asian >74,20,0.85,0.55,0.9,0.2,11,9
Asian 55-64,338,0.8284023668639053,0.5680473372781065,0.8160377358490566,0.15079365079365079,192,146
White >74,536,0.7593283582089553,0.5988805970149254,0.7774566473988439,0.2736842105263158,321,215
Asian 65-74,103,0.8252427184466019,0.6019417475728155,0.84375,0.20512820512820512,62,41
White 55-64,2827,0.8015564202334631,0.60841881853555,0.8051606108478147,0.20581896551724138,1720,1107
White 65-74,1433,0.8087927424982554,0.6133984647592463,0.8174186778593914,0.20833333333333334,879,554
White 45-54,4444,0.8073807380738074,0.6248874887488749,0.8198468198468198,0.21859819569743233,2777,1667
Black 35-44,1183,0.8284023668639053,0.63229078613694,0.8628495339547271,0.23148148148148148,748,435
Black <25,111,0.8918918918918919,0.6486486486486487,0.9166666666666666,0.15384615384615385,72,39
White 35-44,5648,0.8578257790368272,0.7193696883852692,0.8882801333968556,0.2303448275862069,4063,1585
Asian 45-54,740,0.8702702702702703,0.745945945945946,0.9145454545454546,0.2578947368421053,552,188
Black 25-34,953,0.869884575026233,0.7618048268625394,0.936231884057971,0.3041825095057034,726,227
Asian 35-44,1124,0.8807829181494662,0.7944839857651246,0.9288135593220339,0.29707112970711297,893,231
White <25,893,0.9070548712206047,0.8006718924972005,0.9527220630372493,0.2564102564102564,715,178
White 25-34,5695,0.9109745390693591,0.8249341527655838,0.9517137314076309,0.26799242424242425,4698,997
Asian <25,89,0.9213483146067416,0.8651685393258427,0.9861111111111112,0.35294117647058826,77,12
Asian 25-34,983,0.9277721261444557,0.866734486266531,0.9643281807372176,0.2887323943661972,852,131
